abseil-20250127.1_1            Abseil Common Libraries (C++)
adwaita-icon-theme-47.0        GNOME Symbolic Icons
adwaita-icon-theme-legacy-46.2 Full color icon theme for legacy applications
aom-3.14.1_1                   AV1 reference encoder/decoder
at-spi2-core-2.60.4            Assistive Technology Service Provider Interface
avahi-0.8                      "meta-port" for the Avahi service discovery suite
avahi-app-0.8_6                Service discovery on a local network
avahi-autoipd-0.8_2            IPv4LL network address configuration daemon
avahi-gtk3-0.8_2               Gtk+ 3 library to the Avahi mDNS system
avahi-header-0.8_2             Install an avahi-gtk* header to avoid conflict
bind-tools-9.20.24_1           Command line tools from BIND: delv, dig, host, nslookup...
bind920-9.20.24_1              BIND DNS suite with updated DNSSEC and DNS64
binutils-2.44,1                GNU binary tools
bmon-4.0_3                     Human-readable bandwidth monitor and rate estimator
boehm-gc-8.2.10                Garbage collection and memory leak detection for C and C++
boehm-gc-threaded-8.2.10       Garbage collection and memory leak detection for C and C++
brotli-1.2.0,1                 Generic-purpose lossless compression algorithm
btop-1.4.7                     Monitor of resources
cairo-1.18.2,3                 Vector graphics library with cross-device output support
checkrestart-0.5.0_1           Find processes that need restarting after an upgrade
cl-freebsd-asdf-init-20250101  ASDF configuration for FreeBSD Common Lisp ports
clisp-2.49.95+20241228_3       Common Lisp implementation
colord-1.4.8_2                 Manage color profiles to accurately color input/output devices
coreutils-9.9                  Free Software Foundation core utilities
cups-2.4.19_1                  Common UNIX Printing System
curl-8.21.0                    Command line tool and library for transferring data with URLs
dav1d-1.5.3_1                  Small and fast AV1 decoder
db18-18.1.40_1                 Oracle Berkeley DB, Release 18.1
dbus-1.16.2_4,1                Message bus system for inter-application communication
dbus-glib-0.114                GLib bindings for the D-BUS messaging system
desktop-file-utils-0.28        Couple of command line utilities for working with desktop entries
diffutils-3.12                 GNU differential compare utilities
doas-6.4                       Simple sudo alternative to run commands as another user
duktape-lib-2.7.0_1            Embeddable Javascript engine (shared lib)
emacs-nox-30.2_4,3             GNU editing macros (No X flavor)
expat-2.8.2                    XML 1.0 parser written in C
fish-4.6.0_2                   User friendly command line shell
fontconfig-2.17.1,1            XML-based font configuration API for X Windows
fortune-mod-futurama-0.2_4     Compilation of quotes from the TV series "Futurama"
freetype2-2.14.3               Free and portable TrueType font rendering engine
fribidi-1.0.16                 Free Implementation of the Unicode Bidirectional Algorithm
fstrm-0.6.1_1                  Implementation of the Frame Streams data transport protocol in C
gcc13-13.3.0_5                 GNU Compiler Collection 13
gcc14-14.2.0_6                 GNU Compiler Collection 14
